rank,name,director,score,score_num,quote
221,步履不停,是枝裕和,8.8,236374,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
222,血钻,爱德华·兹威克,8.7,321204,每个美丽事物背后都是滴血的现实。
223,茶馆,谢添,9.5,84201,
224,彗星来的那一夜,詹姆斯·沃德·布柯特,8.5,467058,小成本大魅力。
225,战争之王,安德鲁·尼科尔,8.7,310998,做一颗让别人需要你的棋子。
226,燃情岁月,爱德华·兹威克,8.8,252946,传奇，不是每个人都可以拥有。
227,千钧一发,安德鲁·尼科尔,8.8,237586,一部能引人思考的科幻励志片。
228,黑客帝国2：重装上阵,拉娜·沃卓斯基,8.6,340465,一个精彩的世界观正在缓缓建立。
229,谍影重重2,保罗·格林格拉斯,8.7,308559,谁说王家卫镜头很晃？
230,崖上的波妞,宫崎骏,8.6,406639,
231,海洋,雅克·贝汉,9.1,144311,大海啊，不全是水。
232,背靠背，脸对脸,黄建新,9.5,86090,
233,阿飞正传,王家卫,8.5,435658,王家卫是一种风格，张国荣是一个代表。
234,小丑,托德·菲利普斯,8.7,865121,
235,穿越时空的少女,细田守,8.6,339075,爱上未来的你。 
236,谍影重重,道格·里曼,8.6,369922,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
237,地球上的星星,阿米尔·汗,8.9,181012,天使保护事件始末。
238,香水,汤姆·提克威,8.5,485259,一个单凭体香达到高潮的男人。
239,完美陌生人,保罗·格诺维瑟,8.5,469017,来啊，互相伤害啊！
240,再次出发之纽约遇见你,约翰·卡尼,8.6,370837,爱我就给我看你的播放列表。
241,我爱你,秋昌民,9.1,143694,你要相信，这世上真的有爱存在，不管在什么年纪 
242,爱乐之城,达米恩·查泽雷,8.4,729304,
243,朗读者,史蒂芬·戴德利,8.6,410455,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
244,火星救援,雷德利·斯科特,8.5,609160,
245,小萝莉的猴神大叔,卡比尔·汗,8.4,432627,宝莱坞的萝莉与大叔。
246,聚焦,托马斯·麦卡锡,8.8,243723,新闻人的理性求真。
247,驴得水,周申,8.3,804548,过去的如果就让它过去了，未来只会越来越糟！
248,浪潮,丹尼斯·甘塞尔,8.7,239000,世界离独裁只有五天。
249,猜火车,丹尼·博伊尔,8.6,375386,不可猜的青春迷笛。 
250,千年女优,今敏,8.8,206439,爱情是一场没有尽头的虚幻追逐。
