职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
java工程师,广州-番禺区,,18-35k·15薪,3-5年统招本科,快时尚出口跨境电商互联网公司,|互联网/电商|C轮|5000-10000人|,石女士
java,广州-天河区,,35-55k·15薪,5-10年统招本科,广州趣丸网络科技有限公司,|互联网+|融资未公开|500-999人|,王女士
java开发工程师,广州-番禺区,,20-40k·13薪,3-5年统招本科,欢聚YY,|互联网+|战略融资|5000-10000人|,郭先生
java开发工程师,广州-天河区,,15-22k·16薪,3-5年大专及以上,国内知名互联网公司,|互联网/电商|D轮及以上|2000-5000人|,李先生
JAVA API【外资银行信用卡系统】,广州-天河区,,30-50k,5-10年统招本科,世界500强外资银行,|银行|10000人以上|,祝女士
java TL,广州,,15-29k·13薪,5-10年学历不限,某知名上市IT软件公司,|计算机软件|融资未公开|10000人以上|,孙女士
java架构师,广州-天河区,,20-40k·14薪,3-5年统招本科,广东智能交通新兴公司,|互联网/电商|不需要融资|1-49人|,赵先生
Java,广州-海珠区,,20-40k·13薪,5-10年大专及以上,某知名公司,|服装纺织|D轮及以上|2000-5000人|,周女士
资深java开发工程师,广州,,22-35k·15薪,5-10年统招本科,独角兽企业,|互联网/电商|C轮|2000-5000人|,方女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
高级java开发工程师,广州-天河区,,20-30k,5-10年本科及以上,某大型医疗信息化企业,|计算机软件|50-99人|,熊先生
Java开发工程师（广州）,广州-番禺区,,20-30k·15薪,5-10年统招本科,蘑菇物联技术（深圳）有限公司,|互联网/电商|B轮|500-999人|,韩女士
Software Dev Manager( Java/ SpringBoot) Banking IT,广州,,50-80k,10年以上本科及以上,Fulltime hiring for global bank IT team,|计算机软件|5000-10000人|,陈女士
Lead Java Consultant ( MicroServices/Java/ eCommerce),广州,,30-45k,5-10年本科及以上,Fulltime hiring for global bank IT team,|计算机软件|5000-10000人|,陈女士
