id,名称,总阅读数,总鲜花数,总催更票数,总打赏(单位万),总月票数,总分享次数,评分,好评人数,小说分类
259,洪荒：开局无限灌顶至神话大罗,621038,116139,10,402000.0,13,0,10,3683人,玄幻奇幻
260,四合院：禽兽，接受雷神的惩罚！,1177692,101433,19,38640000.0,5,0,10,8879人,同人小说
261,四合院：开局救下自己的妻子,431985,12256,0,1000000.0,0,0,10,602人,同人小说
262,NBA：回到84，我成乔丹宿敌,2023017,392113,70,196000.0,23,0,10,35885人,科幻网游
263,科技，推翻奥丁统治,505533,111197,16,80880000.0,33,0,10,7216人,科幻网游
264,moba：我，峡谷喜剧人,2056885,286335,26,554000.0,18,0,10,13617人,科幻网游
265,全民原神：只有我加载钟离模板！,584037,190249,17,453000.0,18,0,10,8962人,玄幻奇幻
266,剪辑死亡名场面：开局萝莉之死！,1177054,118015,36,317000.0,24,0,10,7351人,同人小说
267,四合院：逐我出门，还想我接济？,1289965,248999,56,47760000.0,7,0,10,9383人,同人小说
268,四合院：开局傻柱进牢房,2060207,341810,333,960000.0,29,5,10,29957人,同人小说
269,棒梗血癌，全院都让我女儿捐骨髓,405363,10559,6,511000.0,1,1,10,2430人,同人小说
270,朱元璋遗嘱：咱还有个儿子,299922,21730,5,230000.0,4,0,10,891人,军事历史
271,网游武侠：开局获得万剑归宗,2469727,619145,101,19000.0,60,1,10,45460人,科幻网游
272,盗墓：我有黄金瞳,853653,355975,24,12000.0,64,0,10,19552人,同人小说
273,扮演黑龙天，开局被白胡子震醒,870966,145175,205,11000.0,22,0,10,10286人,同人小说
